Próby
3 kolejne wierze oznaczają czas zliczania (wc_files),
czas tworzenia bloku (create_and_add_block) i czas 
usuwania bloku (delete_block)

Schematy czasów takie same jak w results2a.txt i results3a.txt

static O1

Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.070, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.200, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.400, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.760, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.480, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.910, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000

static O2

Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.080, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.200, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.420, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.810, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.500, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
Real Time: 1.080, User Time 0.000, System Time 0.000
Real Time: 0.000, User Time 0.000, System Time 0.000
